"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"127",0,4,75,77,2,14,80,58,54,9,54,45,27,42,8,85,85,2,48,2,62,70,84,97,14,54,47,39,87,68,59,24,72,21,67,46,98,51,0,21,2
"128",0,41,90,4,0,32,87,46,32,0,74,27,13,42,0,10,0,2,44,0,17,70,34,36,0,63,55,100,76,40,68,50,76,54,59,77,79,12,0,0,2
"129",71,94,43,0,0,5,9,70,10,0,0,0,49,33,0,0,0,61,13,0,0,12,69,0,0,4,78,18,0,0,62,70,54,76,46,96,85,44,14,1,2
"130",30,100,28,0,0,10,52,67,0,0,0,8,76,0,0,0,5,70,0,0,0,32,49,0,0,5,67,13,0,32,79,99,84,73,44,71,21,24,13,0,2
"131",4,59,94,88,4,42,100,79,96,32,1,40,71,99,34,9,89,100,96,4,0,12,34,49,59,0,0,1,44,98,58,61,83,100,83,48,91,75,47,4,3
"132",0,41,77,58,2,22,94,82,93,35,26,60,37,97,25,0,67,98,86,2,0,60,80,60,61,4,3,0,10,95,83,65,45,84,74,27,77,97,85,17,3
"133",0,7,73,27,0,11,93,88,88,18,70,77,18,74,14,8,3,58,84,2,0,42,96,76,45,5,4,13,9,88,45,28,51,91,61,43,87,82,42,5,3
"134",43,89,91,77,2,11,30,23,100,12,0,3,60,85,3,0,54,100,57,0,0,11,40,70,17,15,0,0,18,79,97,83,75,96,77,28,85,93,69,31,3
"135",0,0,40,63,0,29,74,99,88,1,91,72,88,83,0,1,2,95,90,34,0,0,35,32,92,6,0,0,24,82,46,33,60,91,37,47,92,79,37,0,3
"136",0,61,90,69,10,0,75,82,30,38,0,20,32,64,25,0,11,80,94,14,0,46,97,59,53,29,18,34,3,74,63,90,25,77,78,0,53,88,86,32,3
"137",0,40,68,66,9,49,98,14,48,6,40,29,19,66,0,0,16,99,75,10,0,2,5,29,72,0,0,0,0,55,59,15,2,19,71,80,100,93,74,23,3
